,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
0,SEC,@,56,21,65,4,14,10,16,11,25,10,4,4,13,20,ACC,85,29,54,5,20,22,26,8,40,13,9,10,16,18
1,SEC,@,35,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,65,29,54,5,20,22,26,8,40,13,9,10,16,18
2,SEC,,53,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,68,29,54,5,20,22,26,8,40,13,9,10,16,18
3,SEC,,69,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,68,29,54,5,20,22,26,8,40,13,9,10,16,18
4,SEC,@,58,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,65,29,54,5,20,22,26,8,40,13,9,10,16,18
5,SEC,,63,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,52,29,54,5,20,22,26,8,40,13,9,10,16,18
6,SEC,@,49,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,64,29,54,5,20,22,26,8,40,13,9,10,16,18
7,SEC,,59,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,51,29,54,5,20,22,26,8,40,13,9,10,16,18
8,SEC,@,88,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,91,29,54,5,20,22,26,8,40,13,9,10,16,18
9,SEC,,50,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,68,29,54,5,20,22,26,8,40,13,9,10,16,18
10,SEC,@,54,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,61,29,54,5,20,22,26,8,40,13,9,10,16,18
11,SEC,,65,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,55,29,54,5,20,22,26,8,40,13,9,10,16,18
12,SEC,@,47,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,63,29,54,5,20,22,26,8,40,13,9,10,16,18
13,SEC,@,49,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,55,29,54,5,20,22,26,8,40,13,9,10,16,18
14,SEC,,67,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,52,29,54,5,20,22,26,8,40,13,9,10,16,18
15,SEC,N,54,21,65,4,14,10,16,11,25,10,4,4,13,20,SEC,68,29,54,5,20,22,26,8,40,13,9,10,16,18
16,SEC,N,75,26,51,7,15,16,29,8,34,14,5,13,19,20,BigTwelve,65,20,59,4,15,21,27,10,33,9,10,5,14,25
17,SEC,N,85,26,51,7,15,16,29,8,34,14,5,13,19,20,BigTen,47,20,59,4,15,21,27,10,33,9,10,5,14,25
18,SEC,@,72,26,51,7,15,16,29,8,34,14,5,13,19,20,BigTen,73,20,59,4,15,21,27,10,33,9,10,5,14,25
19,SEC,,69,26,51,7,15,16,29,8,34,14,5,13,19,20,ACC,62,20,59,4,15,21,27,10,33,9,10,5,14,25
20,SEC,,79,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,64,20,59,4,15,21,27,10,33,9,10,5,14,25
21,SEC,@,65,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,62,20,59,4,15,21,27,10,33,9,10,5,14,25
22,SEC,,77,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,71,20,59,4,15,21,27,10,33,9,10,5,14,25
23,SEC,@,57,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,44,20,59,4,15,21,27,10,33,9,10,5,14,25
24,SEC,@,74,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,50,20,59,4,15,21,27,10,33,9,10,5,14,25
25,SEC,,69,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,44,20,59,4,15,21,27,10,33,9,10,5,14,25
26,SEC,@,86,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,52,20,59,4,15,21,27,10,33,9,10,5,14,25
27,SEC,,78,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,58,20,59,4,15,21,27,10,33,9,10,5,14,25
28,SEC,@,69,26,51,7,15,16,29,8,34,14,5,13,19,20,SEC,63,20,59,4,15,21,27,10,33,9,10,5,14,25
