,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
0,SEC,@,56,21,65,4,14,10,16,11,25,10,4,4,13,20,ACC,85,29,54,5,20,22,26,8,40,13,9,10,16,18
1,SEC,@,35,15,55,3,13,2,10,11,30,6,4,5,12,16,SEC,65,22,49,13,29,8,16,8,39,12,8,6,11,14
2,SEC,,53,21,51,1,12,10,12,11,29,12,2,4,15,19,SEC,68,23,57,7,20,15,18,11,25,10,10,7,8,16
3,SEC,,69,22,58,7,18,18,28,12,34,16,11,5,18,16,SEC,68,26,72,7,28,9,15,19,44,15,9,8,20,25
4,SEC,@,58,22,63,6,24,8,15,14,41,12,7,3,13,16,SEC,65,26,59,6,20,7,9,4,32,18,4,4,10,18
5,SEC,,63,22,50,7,18,12,18,11,27,14,7,6,14,13,SEC,52,20,49,6,18,6,8,9,24,8,10,7,23,15
6,SEC,@,49,17,56,5,16,10,15,5,28,8,10,3,13,21,SEC,64,20,58,4,20,20,25,14,52,10,5,8,16,17
7,SEC,,59,16,48,2,11,25,31,7,33,9,4,6,9,14,SEC,51,13,52,6,23,19,23,8,33,11,6,4,12,22
8,SEC,@,88,28,61,6,20,26,36,7,31,10,6,1,3,23,SEC,91,29,48,12,19,21,35,3,30,21,2,3,10,22
9,SEC,,50,17,41,4,14,12,26,6,26,9,8,6,19,11,SEC,68,24,52,6,14,14,20,10,30,15,11,3,16,19
10,SEC,@,54,21,52,6,17,6,10,10,30,11,4,2,16,23,SEC,61,22,49,4,14,13,25,10,29,14,10,6,12,11
11,SEC,,65,25,53,4,15,11,14,8,34,13,4,1,10,18,SEC,55,19,54,5,22,12,17,9,29,9,4,3,8,14
