,64,32,16,8,4,2,1
0,gonzaga,gonzaga,memphis,new-mexico-state,davidson,davidson,davidson
1,boise-state,memphis,new-mexico-state,davidson,saint-peters,tennessee,0
2,connecticut,new-mexico-state,alabama,norfolk-state,tennessee,0,0
3,arkansas,arkansas,davidson,saint-peters,south-dakota-state,0,0
4,alabama,alabama,norfolk-state,alabama-birmingham,0,0,0
5,texas-tech,texas-tech,akron,tennessee,0,0,0
6,michigan-state,davidson,virginia-tech,south-dakota-state,0,0,0
7,duke,duke,saint-peters,auburn,0,0,0
8,baylor,norfolk-state,seton-hall,0,0,0,0
9,north-carolina,marquette,alabama-birmingham,0,0,0,0
10,saint-marys-ca,wyoming,tennessee,0,0,0,0
11,ucla,akron,delaware,0,0,0,0
12,texas,virginia-tech,san-diego-state,0,0,0,0
13,purdue,purdue,south-dakota-state,0,0,0,0
14,murray-state,san-francisco,colgate,0,0,0,0
15,kentucky,saint-peters,auburn,0,0,0,0
16,arizona,bryant,0,0,0,0,0
17,seton-hall,seton-hall,0,0,0,0,0
18,houston,alabama-birmingham,0,0,0,0,0
19,illinois,chattanooga,0,0,0,0,0
20,colorado-state,michigan,0,0,0,0,0
21,tennessee,tennessee,0,0,0,0,0
22,ohio-state,loyola-il,0,0,0,0,0
23,villanova,delaware,0,0,0,0,0
24,kansas,kansas,0,0,0,0,0
25,san-diego-state,san-diego-state,0,0,0,0,0
26,iowa,iowa,0,0,0,0,0
27,providence,south-dakota-state,0,0,0,0,0
28,louisiana-state,iowa-state,0,0,0,0,0
29,wisconsin,colgate,0,0,0,0,0
30,southern-california,miami-fl,0,0,0,0,0
31,auburn,auburn,0,0,0,0,0
32,georgia-state,0,0,0,0,0,0
33,memphis,0,0,0,0,0,0
34,new-mexico-state,0,0,0,0,0,0
35,vermont,0,0,0,0,0,0
36,notre-dame,0,0,0,0,0,0
37,montana-state,0,0,0,0,0,0
38,davidson,0,0,0,0,0,0
39,cal-state-fullerton,0,0,0,0,0,0
40,norfolk-state,0,0,0,0,0,0
41,marquette,0,0,0,0,0,0
42,wyoming,0,0,0,0,0,0
43,akron,0,0,0,0,0,0
44,virginia-tech,0,0,0,0,0,0
45,yale,0,0,0,0,0,0
46,san-francisco,0,0,0,0,0,0
47,saint-peters,0,0,0,0,0,0
48,bryant,0,0,0,0,0,0
49,texas-christian,0,0,0,0,0,0
50,alabama-birmingham,0,0,0,0,0,0
51,chattanooga,0,0,0,0,0,0
52,michigan,0,0,0,0,0,0
53,longwood,0,0,0,0,0,0
54,loyola-il,0,0,0,0,0,0
55,delaware,0,0,0,0,0,0
56,texas-am-corpus-christi,0,0,0,0,0,0
57,creighton,0,0,0,0,0,0
58,richmond,0,0,0,0,0,0
59,south-dakota-state,0,0,0,0,0,0
60,iowa-state,0,0,0,0,0,0
61,colgate,0,0,0,0,0,0
62,miami-fl,0,0,0,0,0,0
63,jacksonville-state,0,0,0,0,0,0
