Team1,Team2
gonzaga,georgia-state
boise-state,memphis
connecticut,new-mexico-state
arkansas,vermont
alabama,******
texas-tech,montana-state
michigan-state,davidson
duke,cal-state-fullerton
baylor,norfolk-state
north-carolina,marquette
saint-marys-ca,****
ucla,akron
texas,virginia-tech
purdue,yale
murray-state,san-francisco
kentucky,saint-peters
arizona,*****
seton-hall,texas-christian
houston,alabama-birmingham
illinois,chattanooga
colorado-state,michigan
tennessee,longwood
ohio-state,loyola-il
villanova,delaware
kansas,*****
san-diego-state,creighton
iowa,richmond
providence,south-dakota-state
louisiana-state,iowa-state
wisconsin,colgate
southern-california,miami-fl
auburn,jacksonville-state
